run_id,Bo,Mo,Sc,E,d,t_detach,Vbubble_detach,yCent_detach,jNorm_detach,mGrowth_detach,dC_detach,kL_detach,dNb_detach,detached,Vbubble_end,yCent_end,jNorm_end,mGrowth_end,dC_end,Aint_end,jNorm_mean,mGrowth_mean,AdCInt
S000,0.70222288,1.37E-13,347.16175,13.011954,0.16125307,0.00404354,2.87E-13,0.0710482,0.987819,1.07E-19,0.000195558,0.00109965,4.13E-19,1,2.87E-13,0.920913,0.980846,9.31E-20,0.0028074,1.49E-09,0.98557,5.07E-19,3.76E-16
S001,0.94972288,7.70E-10,159.66175,22.886954,0.23625307,0.00631401,6.17E-13,0.107001,0.974225,1.24E-17,0.0165266,0.00022881,2.04E-17,1,6.17E-13,0.848521,0.961703,9.43E-17,0.111751,2.06E-09,0.970237,2.55E-17,8.91E-14
S002,0.45472288,2.44E-12,284.66175,3.1369544,0.38625307,0.00520092,1.65E-12,0.170118,0.931585,8.45E-19,0.000887327,0.000159892,1.06E-18,1,1.65E-12,0.943762,0.863297,6.11E-18,0.0071221,2.66E-09,0.919893,8.27E-19,6.61E-15
S003,0.33097288,1.83E-10,378.41175,8.0744544,0.34875307,0.00473021,1.34E-12,0.156281,0.944265,8.51E-18,0.00495277,0.00039581,1.20E-17,1,1.34E-12,0.840183,0.937539,5.52E-17,0.0450904,2.94E-09,0.936321,8.64E-18,3.03E-14
S004,0.82597288,5.78E-13,253.41175,27.824454,0.19875307,0.00486948,4.37E-13,0.0878805,0.981404,4.38E-19,0.00135508,0.000258305,1.14E-18,1,4.37E-13,0.93568,0.97139,1.54E-18,0.0137197,1.86E-09,0.978102,2.01E-18,4.40E-15
S005,0.57847288,1.03E-11,315.91175,17.949454,0.31974916,0.00539147,1.13E-12,0.141667,0.95287,3.54E-18,0.0043109,0.000167638,4.59E-18,1,1.13E-12,0.896921,0.95581,2.36E-17,0.0333907,2.26E-09,0.944946,4.49E-18,2.74E-14
S006,0.083472881,3.25E-14,190.91175,37.699454,0.27375307,0.00186528,8.28E-13,0.118731,0.965341,2.78E-18,0.0042368,0.000222353,1.73E-18,1,8.28E-13,0.944424,0.954034,3.61E-17,0.0997616,1.69E-09,0.95914,1.06E-17,7.78E-15
S007,0.021597881,3.75E-10,331.53675,25.355704,0.14250307,0.001021,2.25E-13,0.0629265,0.990619,4.00E-17,0.00918812,0.00250717,1.18E-17,1,2.25E-13,0.569076,0.98803,3.86E-16,0.387563,1.20E-09,0.989198,1.45E-16,4.72E-15
S008,0.51659788,1.19E-12,206.53675,5.6057044,0.29250307,0.00476815,9.46E-13,0.128625,0.960311,4.80E-19,0.00102539,0.000107193,5.60E-19,1,9.46E-13,0.932175,0.949121,5.10E-18,0.00897975,1.97E-09,0.953378,1.04E-18,5.22E-15
S009,0.76409788,2.11E-11,394.03675,35.230704,0.36750307,0.00662327,1.49E-12,0.163891,0.937968,9.38E-18,0.0098411,0.000172322,1.53E-17,1,1.49E-12,0.855507,0.929415,5.06E-17,0.0644898,3.17E-09,0.927697,8.61E-18,8.89E-14
S010,0.26909788,6.67E-14,269.03675,15.480704,0.21750307,0.00295829,5.23E-13,0.0948011,0.977998,2.62E-19,0.000677035,0.000303242,4.52E-19,1,5.23E-13,0.955323,0.969571,1.01E-18,0.0111436,1.53E-09,0.974009,1.42E-18,1.49E-15
S011,0.39284788,5.00E-12,175.28675,10.543204,0.18000307,0.00335728,3.58E-13,0.0792463,0.984945,8.97E-19,0.0013196,0.000457944,1.22E-18,1,3.58E-13,0.962998,0.978898,6.32E-18,0.0169706,1.28E-09,0.982267,3.71E-18,2.66E-15
S012,0.88784788,1.58E-14,300.28675,30.293204,0.33000307,0.00634846,1.20E-12,0.14541,0.948877,1.36E-19,0.00138254,2.53E-05,2.70E-19,1,1.20E-12,0.932681,0.92836,1.37E-19,0.0110842,2.46E-09,0.939947,6.66E-19,1.07E-14
S013,0.64034788,8.90E-11,237.78675,0.66820441,0.25500307,0.005239,7.17E-13,0.1138,0.970022,1.87E-19,0.000235698,0.000224274,2.56E-19,1,7.17E-13,0.933705,0.960363,1.48E-18,0.00190233,2.29E-09,0.965206,3.44E-19,1.14E-15
S014,0.14534788,2.81E-13,362.78675,20.418204,0.10500307,0.00155358,1.21E-13,0.0456491,0.994919,6.65E-19,0.000105554,0,1.15E-18,1,1.21E-13,0.973526,0.994246,1.09E-18,0.00695467,7.13E-10,0.993801,2.86E-18,2.78E-17
S015,0.17628538,6.21E-11,198.72425,19.183829,0.39562807,0.00367249,1.73E-12,0.176411,0.928533,7.85E-17,0.0254819,0.000485291,6.68E-17,1,1.73E-12,0.916021,0.909239,4.92E-16,0.295012,2.40E-09,0.918328,6.05E-17,1.38E-13
S016,0.67128538,1.96E-13,323.72425,38.933829,0.24562807,0.00487218,6.67E-13,0.108031,0.971754,4.37E-19,0.00187027,0.000107927,8.54E-19,1,6.67E-13,0.931643,0.967021,1.62E-18,0.0186855,1.96E-09,0.966738,1.96E-18,7.91E-15
